id,card_no,time
1,5602257205213066,17:36
2,3559188893672412,8:58
3,30590726229440,20:14
4,564182641154429159,16:07
5,3565490026741219,21:35
6,3534993975201703,15:24
7,4026569193128788,14:56
8,5457056063627037,11:46
9,3567354612469429,9:36
10,6304582802623824,18:15
11,4139476996229090,11:49
12,5148874734835267,17:21
13,3572068344907133,14:23
14,4911222927243977618,11:58
15,5048379294970570,20:39
16,06048917043847835,8:54
17,5893473932638681283,10:26
18,374288595793026,19:23
19,3585701128032596,18:46
20,3570191110808236,20:25
21,3552629716490232,9:19
22,5610528204271423982,9:03
23,3573931496453785,15:41
24,5100146038794060,13:27
25,6762013293931419365,17:13
26,3534084182416787,16:44
27,3586210969577429,15:05
28,56022422703267056,17:03
29,201536273526640,16:26
30,4913680673720832,14:24
31,3567140615890046,14:46
32,3582824722236257,18:55
33,6762001715176619,13:01
34,56022548709104842,16:23
35,3587283328932642,17:22
36,337941964402563,16:10
37,374288481415734,8:10
38,374622568460199,14:27
39,3568166268362875,13:39
40,3579053458079310,13:27
41,5100132821276838,11:43
42,67066096884042639,20:08
43,3563388457640847,20:57
44,502096357476911379,10:04
45,5641824233896700371,13:27
46,490366101407293718,21:16
47,6374756404802581,18:44
48,3574493843846194,16:44
49,3577557766295543,8:31
50,345763378793324,19:04
51,5108750808259956,21:38
52,3556593572306245,10:41
53,5602254349435226,21:21
54,374288013174155,9:43
55,3575866490161109,18:50
56,343905952523260,15:55
57,3564945110223110,17:49
58,374622244680756,11:10
59,3586922740814356,20:27
60,3586170885261195,13:29
61,3534461096800472,10:05
62,201893133384011,16:04
63,3550401457660874,19:01
64,3544740588519643,9:21
65,6709094619772506,17:05
66,3577617426105571,21:59
67,3539671556377507,11:53
68,560223401374914038,8:57
69,6399783686966349,18:38
70,5429172690768386,15:15
71,5602230139387801,17:23
72,677145995926222425,12:40
73,30134912430528,13:18
74,6378023803996076,10:57
75,3561901086438250,14:38
76,56022333913601721,10:35
77,3583983745024055,21:07
78,5602222301872462,16:41
79,30574261120743,21:52
80,3540307292851177,19:19
81,5602220736649703,8:03
82,30429153701797,20:57
83,3535647567067117,16:23
84,3583797854117348,19:29
85,3582761038241565,9:09
86,3556541761674519,20:19
87,5602215369704452,16:56
88,5602214660266014,8:24
89,6759272838849417,9:30
90,3558702452390710,8:34
91,560221076972898460,12:11
92,3542616860091729,15:57
93,3535878664450647,18:56
94,3536646236666662,15:15
