Name,Salary,Productivity,Commute Time
Mason Pender  ,87902,29.91,16.79
Mia Rew  ,95672,49.91,44.48
Jalisa Kroenke  ,177864,78,19.40
Krystal Homeyer  ,186643,24.36,42.06
Kiana Wishart  ,167148,4.08,25.58
Angelica Shipley  ,54898,24.05,44.70
Jacinta Dunford  ,130968,99.98,44.53
Juliana Dietz  ,81960,64.29,18.51
Karima Jonas  ,66170,52.74,29.15
Robbin Digman  ,34398,94.25,43.24
Shante Boshears  ,123641,45.61,12.74
Tabatha Storlie  ,90184,72.26,22.16
Sharolyn Uvalle  ,110991,56.01,17.20
Christia Leadbetter  ,42682,81.89,45.91
Jaquelyn Maxim  ,145960,60.72,42.12
Herlinda Gidley  ,43292,29.06,13.61
Linda Shawl  ,134747,12.66,31.02
Dimple Toupin  ,51344,51.36,24.94
Carolyne Choate  ,68727,30.4,52.20
Alycia Santacruz  ,176146,84.14,71.56
Miss Han  ,126761,75.69,34.03
Ralph Pacheo  ,153914,93.63,27.12
Clemente Newsome  ,43272,38.93,31.89
Joaquina Neece  ,95562,99.66,48.65
Thersa Fournier  ,122645,57.79,28.00
Scarlet Dingus  ,94268,12.02,48.74
Goldie Baynard  ,110805,59.7,27.63
Odelia Capers  ,35903,98.92,9.29
Brain Adolphson  ,164562,38.92,67.78
Jeanne Ritts  ,170328,94.3,28.38
Ma Vanalstyne  ,76894,8.15,45.11
Letha Mcgoldrick  ,52463,84.22,13.14
Flossie Barnard  ,66000,2.82,27.33
Michaele Laughlin  ,54757,53.21,17.12
Glendora Winkles  ,39105,92.56,36.12
Flora Kantner  ,33148,27.91,40.46
Rachal Ballerini  ,79656,26.27,22.32
Dreama Vancil  ,140074,15.69,29.03
Ming Scherrer  ,85108,38.93,57.19
Adell Vanwagoner  ,115827,79.41,32.11
Valentina Driggs  ,144473,81.42,69.93
Sue Hieb  ,178749,29.83,44.76
Kathlyn Eccleston  ,176011,42.25,20.60
Bernardo Klingenberg  ,55464,34.52,32.27
Arla Cupples  ,191431,17.28,23.47
Maisie Twomey  ,121970,8.53,37.24
Shalanda Eatman  ,68756,86.1,32.86
Elias Nason  ,126178,79.94,38.38
Gil Victorino  ,143315,46.11,52.54
Eli Mcdaniels  ,107484,96.43,37.31
Yolande Shankles  ,102324,49.09,10.61
Elois Freeney  ,70075,57.6,39.94
Janette Ringel  ,61397,65.13,51.94
Christoper Rochin  ,115596,30.17,26.51
Cecil Marchi  ,135638,44.72,3.22
Hipolito Kochan  ,154042,66.48,26.03
Margie Vanguilder  ,179864,78.94,15.72
Louetta Pompei  ,46443,72.21,20.71
Modesta Legrand  ,159945,70.99,53.31
Devora Neihoff  ,144426,70.22,16.96
Elna Henrich  ,186771,90.01,22.57
Kandis Prahl  ,36839,75.26,34.24
Vernia Resch  ,166889,12.18,24.16
Estelle Best  ,52770,79.45,15.48
Rheba Troung  ,61597,29.51,27.79
Florrie Dohrmann  ,175995,76.11,24.60
Mitzi Mchargue  ,55918,68.21,41.81
Sharonda Nason  ,111254,11.68,18.66
Lorenzo Stolte  ,116069,75.73,40.19
Camila Gorney  ,111026,56.81,17.16
Jessika Blanchard  ,197081,57.17,25.97
Jim Breckenridge  ,60542,15.83,67.91
Joesph Manrique  ,89774,11.04,31.07
Evita Doney  ,173091,81.5,22.85
Lanelle Heldt  ,86006,85.97,20.14
Tyisha Fazio  ,81205,38.89,20.29
Jesica Niemann  ,95060,16.66,20.27
Lashaunda Whitwell  ,124762,27.51,20.27
Lael Lovin  ,177384,59.75,20.27
Vicky Dedios  ,38374,25.71,59.84
Santana Stoffel  ,32245,91.66,13.89
Erlinda Hester  ,79707,88.21,21.26
Genia Stoney  ,78450,85.86,33.59
Octavia Mote  ,63643,21.89,45.52
Devon Aikin  ,165304,46.49,28.05
Clarissa Lapine  ,184088,83.11,32.73
Winfred Malia  ,187685,21.12,53.61
Jennette Odle  ,145167,50.66,27.41
Darell Nau  ,30530,99.63,44.25
Shannon Renfroe  ,147630,70.63,33.26
Roscoe Loughman  ,89593,5.18,28.04
Noella Vidal  ,187302,55.04,44.41
Fredric Gandee  ,154469,0.24,22.48
Madaline Jeanlouis  ,56482,88.36,7.91
Louisa Buscher  ,40071,80.71,27.05
Karie Mays  ,186066,9.23,23.80
Zulema Nordeen  ,32477,49.63,20.23
Sharika Casares  ,65989,64.7,24.30
Serina Penney  ,97319,69.19,35.22
Kaye Ridenour  ,118546,31.22,28.34
Mark Moors  ,147015,94.73,28.50
Betsy Atkin  ,94400,78.89,15.55
Pura Alvin  ,149088,44.03,21.73
Geraldine Klapper  ,36789,58.25,43.85
Gianna Brymer  ,67490,95.41,37.50
Elizbeth Freer  ,35094,73.23,43.86
Christin Ferrin  ,87995,78.69,38.78
Addie Cerulli  ,132551,42.89,19.54
Luann Viernes  ,129856,40.99,101.78
Cornelius Norgard  ,65378,14.86,40.36
Allena Roller  ,140926,45.92,20.50
Mirella Endres  ,132102,14.33,28.99
Molly Brickey  ,115086,9.77,26.09
